title,publisher
title,publisher
/volume4/RDM_12T/02.Games/PC/3DMGAME_DARK_SOULS（黑暗之魂重制版）,/volume4/RDM_12T/02.Games/PC/3DMGAME_DARK_SOULS（黑暗之魂重制版）/
3DM,/volume4/RDM_12T/02.Games/PC/3DMGAME-Ori.and.the.Will.of.the.Wisps.Cracked-3DM/
/volume4/RDM_12T/02.Games/PC/3DMGAME_Othercide.CHS.Green,/volume4/RDM_12T/02.Games/PC/3DMGAME_Othercide.CHS.Green/
3DM,/volume4/RDM_12T/02.Games/PC/3DMGAME-SWORD.ART.ONLINE.Alicization.Lycoris.Month.1.Edition.Deluxe.Cracked-3DM/
/volume4/RDM_12T/02.Games/PC/3DM运行库离线版2.0,/volume4/RDM_12T/02.Games/PC/3DM运行库离线版2.0/
/volume4/RDM_12T/02.Games/PC/Ace.Combat.7.Skies.Unknown.Build.20190220,/volume4/RDM_12T/02.Games/PC/Ace.Combat.7.Skies.Unknown.Build.20190220/
CODEX,/volume4/RDM_12T/02.Games/PC/Alan.Wake.Remastered-CODEX/
/volume4/RDM_12T/02.Games/PC/Battlefiel.D5,/volume4/RDM_12T/02.Games/PC/Battlefiel.D5/
/volume4/RDM_12T/02.Games/PC/Bright,/volume4/RDM_12T/02.Games/PC/Bright
Memory,Memory
无限),Infinite(光明记忆-无限)/
CODEX,/volume4/RDM_12T/02.Games/PC/Dark.Souls.II.Scholar.of.the.First.Sin-CODEX/
黑暗之魂重置版CODEX,/volume4/RDM_12T/02.Games/PC/DARK.SOULS.REMASTERED-黑暗之魂重置版CODEX/
/volume4/RDM_12T/02.Games/PC/Dead,/volume4/RDM_12T/02.Games/PC/Dead
Cells,Cells
Everyone,Everyone
is,is
Here(死亡细胞),Here(死亡细胞)/
/volume4/RDM_12T/02.Games/PC/Disco,/volume4/RDM_12T/02.Games/PC/Disco
Elysium,Elysium
,-
The,The
Final,Final
Cut,Cut
[极乐迪斯科],[极乐迪斯科]/
/volume4/RDM_12T/02.Games/PC/DMC5.DE.Cracked,/volume4/RDM_12T/02.Games/PC/DMC5.DE.Cracked/
/volume4/RDM_12T/02.Games/PC/@eaDir,/volume4/RDM_12T/02.Games/PC/@eaDir/
/volume4/RDM_12T/02.Games/PC/EvilWithin2,/volume4/RDM_12T/02.Games/PC/EvilWithin2/
/volume4/RDM_12T/02.Games/PC/FarCry5V1.011_chs_setup,/volume4/RDM_12T/02.Games/PC/FarCry5V1.011_chs_setup/
/volume4/RDM_12T/02.Games/PC/FATAL,/volume4/RDM_12T/02.Games/PC/FATAL
FRAME,FRAME
PROJECT,PROJECT
ZERO,ZERO
Maiden,Maiden
of,of
Black,Black
Water,Water/
/volume4/RDM_12T/02.Games/PC/FateSeekerII（天命奇御2）,/volume4/RDM_12T/02.Games/PC/FateSeekerII（天命奇御2）/
/volume4/RDM_12T/02.Games/PC/Fate.Seeker（天命奇御）,/volume4/RDM_12T/02.Games/PC/Fate.Seeker（天命奇御）/
/volume4/RDM_12T/02.Games/PC/GTA3,/volume4/RDM_12T/02.Games/PC/GTA3/
/volume4/RDM_12T/02.Games/PC/GTA4,/volume4/RDM_12T/02.Games/PC/GTA4/
/volume4/RDM_12T/02.Games/PC/GTA圣安地列斯,/volume4/RDM_12T/02.Games/PC/GTA圣安地列斯/
古剑奇谭3,/volume4/RDM_12T/02.Games/PC/Gujian3.HAPPY.XMAS-古剑奇谭3/
/volume4/RDM_12T/02.Games/PC/Halo,/volume4/RDM_12T/02.Games/PC/Halo
Infinite（光环无限）,Infinite（光环无限）/
本色,/volume4/RDM_12T/02.Games/PC/Life.is.Strange.True.Colors-CODEX-奇异人生-本色/
小小梦魇2,/volume4/RDM_12T/02.Games/PC/Little.Nightmares.II-CODEX—小小梦魇2/
/volume4/RDM_12T/02.Games/PC/Mount,/volume4/RDM_12T/02.Games/PC/Mount
&,&
Blade,Blade
II,II
骑马与砍杀II霸主,Bannerlord-骑马与砍杀II霸主/
/volume4/RDM_12T/02.Games/PC/NieR,/volume4/RDM_12T/02.Games/PC/NieR
Replicant,Replicant
ver,ver
1,1
22474487139,22474487139/
/volume4/RDM_12T/02.Games/PC/nioh2,/volume4/RDM_12T/02.Games/PC/nioh2/
/volume4/RDM_12T/02.Games/PC/onepushman,/volume4/RDM_12T/02.Games/PC/onepushman/
/volume4/RDM_12T/02.Games/PC/Othercide,/volume4/RDM_12T/02.Games/PC/Othercide/
/volume4/RDM_12T/02.Games/PC/REDR2(大镖客2),/volume4/RDM_12T/02.Games/PC/REDR2(大镖客2)/
/volume4/RDM_12T/02.Games/PC/Resident,/volume4/RDM_12T/02.Games/PC/Resident
Evil,Evil
Village,Village
BIOHAZARD,BIOHAZARD
VILLAGE,VILLAGE/
天惠之稻姬,/volume4/RDM_12T/02.Games/PC/Sakuna.Of.Rice.and.Ruin-天惠之稻姬/
/volume4/RDM_12T/02.Games/PC/Sekiro,/volume4/RDM_12T/02.Games/PC/Sekiro
Shadows,Shadows
Die,Die
Twice（只狼）,Twice（只狼）/
/volume4/RDM_12T/02.Games/PC/Sniper,/volume4/RDM_12T/02.Games/PC/Sniper
Ghost,Ghost
Warrior,Warrior
Contracts,Contracts
Digital,Digital
Deluxe,Deluxe
Edition（阻击手幽灵战士）,Edition（阻击手幽灵战士）/
/volume4/RDM_12T/02.Games/PC/The,/volume4/RDM_12T/02.Games/PC/The
Dark,Dark
Pictures,Pictures
Anthology,Anthology
,-
House,House
of,of
黑相集灰冥界,Ashes-黑相集灰冥界/
CODEX,/volume4/RDM_12T/02.Games/PC/The.Dark.Pictures.Anthology.Little.Hope-CODEX/
/volume4/RDM_12T/02.Games/PC/ViGEm,/volume4/RDM_12T/02.Games/PC/ViGEm/
/volume4/RDM_12T/02.Games/PC/刀剑封魔录之上古传说,/volume4/RDM_12T/02.Games/PC/刀剑封魔录之上古传说/
/volume4/RDM_12T/02.Games/PC/地平线5,/volume4/RDM_12T/02.Games/PC/地平线5/
/volume4/RDM_12T/02.Games/PC/帝国时代4,/volume4/RDM_12T/02.Games/PC/帝国时代4/
/volume4/RDM_12T/02.Games/PC/开拓者正义之怒,/volume4/RDM_12T/02.Games/PC/开拓者正义之怒/
/volume4/RDM_12T/02.Games/PC/泰坦之旅周年版：永恒余烬,/volume4/RDM_12T/02.Games/PC/泰坦之旅周年版：永恒余烬/
/volume4/RDM_12T/02.Games/PC/真三国无双7,/volume4/RDM_12T/02.Games/PC/真三国无双7/
/volume4/RDM_12T/02.Games/PC/真三国无双8：帝国,/volume4/RDM_12T/02.Games/PC/真三国无双8：帝国/
/volume4/RDM_12T/02.Games/PC/风灵月影修改器合集,/volume4/RDM_12T/02.Games/PC/风灵月影修改器合集/
/volume4/RDM_12T/02.Games/PS4/000.software,/volume4/RDM_12T/02.Games/PS4/000.software/
/volume4/RDM_12T/02.Games/PS4/0tobeinstall,/volume4/RDM_12T/02.Games/PS4/0tobeinstall/
/volume4/RDM_12T/02.Games/PS4/13,/volume4/RDM_12T/02.Games/PS4/13
Sentinels,Sentinels
Aegis,Aegis
Rim,Rim
GAMEKEGS,-GAMEKEGS/
使命召唤16：现代战争,/volume4/RDM_12T/02.Games/PS4/20220209—使命召唤16：现代战争/
暗影火炬城,/volume4/RDM_12T/02.Games/PS4/20220209—暗影火炬城/
